source,target,value,naturalCourt,type
86,88,6.317796,1404,nonCL
86,80,4.586363,1404,nonCL
86,79,-8.424823,1404,nonCL
79,91,13.391316,1404,nonCL
79,78,-4.096287,1404,nonCL
79,81,-13.693152,1404,nonCL
79,92,7.444528,1404,nonCL
79,90,-3.344751,1404,nonCL
79,88,31.021472,1404,nonCL
79,80,-11.656654,1404,nonCL
79,86,3.251628,1404,nonCL
90,78,27.378824,1405,CL
90,80,-5.251913,1405,CL
90,81,-1.029414,1405,CL
90,86,-18.418519,1405,CL
90,88,2.261182,1405,CL
90,91,-3.125220,1405,CL
90,92,17.939007,1405,CL
90,93,13.603936,1405,CL
78,90,24.539129,1405,CL
78,80,-15.618705,1405,CL
78,81,25.421044,1405,CL
78,86,2.228581,1405,CL
78,88,-9.233041,1405,CL
78,91,-9.337866,1405,CL
78,92,2.800411,1405,CL
78,93,2.162193,1405,CL
80,90,-0.485580,1405,CL
80,78,-13.022683,1405,CL
80,81,5.222247,1405,CL
80,86,7.049058,1405,CL
